epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,203.092,1.19434,2.5009,1.10579,0.0049,0.66176,0.42942,0.27513,0.94377,3.84048,1.08657,0.00064,0.00064,0.00064
2,379.784,1.20768,1.75693,1.11191,0.44736,0.17647,0.19421,0.1127,1.03171,3.52264,1.19408,0.00127426,0.00127426,0.00127426
3,552.285,1.18672,1.54428,1.1249,0.18367,0.5,0.26172,0.19772,0.92223,3.9441,1.13217,0.00188238,0.00188238,0.00188238
4,737.755,1.18923,1.36607,1.13208,0.6262,0.83763,0.69303,0.50411,0.88961,2.06244,1.06981,0.0018812,0.0018812,0.0018812
5,913.721,1.19956,1.19269,1.11096,0.86751,0.83824,0.8705,0.63218,1.00469,1.60767,1.07675,0.0018416,0.0018416,0.0018416
6,1087.34,1.21677,1.13412,1.14368,0.86597,0.73529,0.83555,0.6355,0.95864,2.16095,1.05494,0.001802,0.001802,0.001802
7,1389.19,1.19377,1.03026,1.12558,0.94929,0.91176,0.97907,0.75571,0.83179,1.08905,1.00881,0.0017624,0.0017624,0.0017624
8,1561.09,1.15892,0.94759,1.11881,0.85965,0.91176,0.91559,0.70804,0.89845,1.19423,1.05883,0.0017228,0.0017228,0.0017228
9,1790.26,1.09932,0.91553,1.08048,0.95128,0.94118,0.97659,0.75524,0.8796,0.82488,1.03324,0.0016832,0.0016832,0.0016832
10,1976.74,1.09859,0.82517,1.071,0.96914,0.92364,0.98406,0.74371,0.79949,0.87452,1.01685,0.0016436,0.0016436,0.0016436
11,2183.53,1.10742,0.80774,1.09861,0.90101,0.98529,0.9569,0.79254,0.64297,0.73937,0.96199,0.001604,0.001604,0.001604
12,2372.01,1.10382,0.77618,1.09451,0.94529,0.94118,0.97871,0.79636,0.75284,0.68219,0.95889,0.0015644,0.0015644,0.0015644
13,2557.83,1.10154,0.74921,1.08228,0.94237,0.98529,0.99257,0.8156,0.73476,0.63757,0.96686,0.0015248,0.0015248,0.0015248
14,2730.79,1.06754,0.71828,1.05985,0.98075,0.98529,0.98611,0.80118,0.69639,0.55334,0.95821,0.0014852,0.0014852,0.0014852
15,3066.99,1.07901,0.71075,1.07048,0.9286,1,0.95813,0.78326,0.70272,0.63557,0.95803,0.0014456,0.0014456,0.0014456
16,3522.95,1.04493,0.68234,1.05702,0.95671,0.98529,0.97679,0.80269,0.68364,0.56508,0.961,0.001406,0.001406,0.001406
17,3701.62,1.02284,0.66561,1.04472,0.95943,0.98529,0.98549,0.80289,0.68702,0.53667,0.95361,0.0013664,0.0013664,0.0013664
18,3953.45,1.02198,0.63111,1.02666,0.95758,0.99583,0.99253,0.83008,0.66558,0.52434,0.9576,0.0013268,0.0013268,0.0013268
19,4385.54,0.95773,0.59958,1.01451,0.95693,0.98028,0.97935,0.81028,0.65171,0.63092,0.94615,0.0012872,0.0012872,0.0012872
20,4593.64,0.96431,0.59438,1.01562,0.9851,0.97059,0.99389,0.82177,0.70189,0.47372,0.95691,0.0012476,0.0012476,0.0012476
21,4758.57,0.98361,0.60133,1.02551,0.97063,1,0.99384,0.84015,0.59091,0.47674,0.91873,0.001208,0.001208,0.001208
22,4923.05,0.97273,0.59961,1.01628,0.9576,0.99646,0.99309,0.83498,0.68132,0.47404,0.93987,0.0011684,0.0011684,0.0011684
23,5086.72,0.97432,0.58947,1.02017,0.9662,0.97059,0.99198,0.81127,0.70746,0.47935,0.96551,0.0011288,0.0011288,0.0011288
24,5250.69,0.95235,0.57879,1.00619,0.97685,0.98529,0.98324,0.84737,0.60698,0.4513,0.91954,0.0010892,0.0010892,0.0010892
25,5414.26,0.93992,0.57201,1.00448,0.97115,0.99018,0.99413,0.84674,0.65088,0.45364,0.92336,0.0010496,0.0010496,0.0010496
26,5578.06,0.98109,0.57254,1.01271,0.94427,0.99675,0.99299,0.84435,0.67949,0.42301,0.94477,0.00101,0.00101,0.00101
27,5741.61,0.95874,0.55217,1.024,0.95766,0.9978,0.98892,0.84459,0.63375,0.42605,0.93261,0.0009704,0.0009704,0.0009704
28,5909.88,0.93552,0.55356,1.00015,0.9441,0.99344,0.99254,0.85743,0.60229,0.41504,0.9256,0.0009308,0.0009308,0.0009308
29,6073.94,0.9228,0.53423,1.00245,0.95627,1,0.98626,0.82238,0.665,0.42636,0.9512,0.0008912,0.0008912,0.0008912
30,6237.85,0.94827,0.54865,1.0086,0.97094,0.98265,0.99296,0.83258,0.68959,0.39165,0.94866,0.0008516,0.0008516,0.0008516
31,6401.16,0.91211,0.539,0.98881,0.94434,1,0.99187,0.86435,0.60559,0.42616,0.92639,0.000812,0.000812,0.000812
32,6565.56,0.96799,0.54332,1.0377,0.9708,0.97789,0.99443,0.84436,0.664,0.4066,0.93147,0.0007724,0.0007724,0.0007724
33,6728.94,0.88314,0.50917,0.99287,0.95412,0.98529,0.99415,0.86615,0.60706,0.40257,0.92204,0.0007328,0.0007328,0.0007328
34,6892.78,0.92039,0.518,0.99765,0.95763,0.99706,0.99341,0.84471,0.62996,0.39679,0.93023,0.0006932,0.0006932,0.0006932
35,7056.42,0.90317,0.51406,0.99235,0.95626,1,0.99357,0.84877,0.62966,0.38681,0.9295,0.0006536,0.0006536,0.0006536
36,7220.53,0.8655,0.49713,0.98104,0.96942,1,0.99371,0.85422,0.59366,0.37263,0.92128,0.000614,0.000614,0.000614
37,7383.39,0.85967,0.48854,0.97616,0.97131,0.99593,0.99443,0.8732,0.59688,0.37386,0.91012,0.0005744,0.0005744,0.0005744
38,7547.8,0.86351,0.5031,0.96522,0.94157,1,0.99067,0.86714,0.59562,0.37173,0.91163,0.0005348,0.0005348,0.0005348
39,7710.51,0.83788,0.47458,0.96922,0.98284,0.98529,0.99237,0.87195,0.58759,0.34442,0.90989,0.0004952,0.0004952,0.0004952
40,7874.75,0.84612,0.4813,0.97267,0.9711,0.98827,0.99471,0.86843,0.59878,0.36885,0.90632,0.0004556,0.0004556,0.0004556
41,8036.42,0.82035,0.43875,0.95985,0.94279,1,0.99302,0.86634,0.61736,0.37172,0.92847,0.000416,0.000416,0.000416
